Genome	level
GCA_000013845.2_ASM1384v2_genomic	clu1
GCA_000171175.1_ASM17117v1_genomic	clu2
GCA_000171195.1_ASM17119v1_genomic	clu3
GCA_001579765.1_ASM157976v1_genomic	clu2
GCA_001579785.1_ASM157978v1_genomic	clu4
GCA_001949205.1_ASM194920v1_genomic	clu4
GCA_001949215.1_ASM194921v1_genomic	clu4
GCA_001949235.1_ASM194923v1_genomic	clu4
GCA_001949245.1_ASM194924v1_genomic	clu4
GCA_001949295.1_ASM194929v1_genomic	clu4
GCA_001949305.1_ASM194930v1_genomic	clu4
GCA_001949315.1_ASM194931v1_genomic	clu4
GCA_001949325.1_ASM194932v1_genomic	clu4
GCA_001949375.1_ASM194937v1_genomic	clu2
GCA_001949385.1_ASM194938v1_genomic	clu4
GCA_001949395.1_ASM194939v1_genomic	clu4
GCA_001949405.1_ASM194940v1_genomic	clu4
GCA_001949455.1_ASM194945v1_genomic	clu4
GCA_001949485.1_ASM194948v1_genomic	clu2
GCA_001949515.1_ASM194951v1_genomic	clu4
GCA_001949535.1_ASM194953v1_genomic	clu4
GCA_001949545.1_ASM194954v1_genomic	clu4
GCA_001949565.1_ASM194956v1_genomic	clu4
GCA_001949595.1_ASM194959v1_genomic	clu4
GCA_001949615.1_ASM194961v1_genomic	clu4
GCA_001949625.1_ASM194962v1_genomic	clu4
GCA_001949635.1_ASM194963v1_genomic	clu4
GCA_001949695.1_ASM194969v1_genomic	clu2
GCA_001949715.1_ASM194971v1_genomic	clu4
GCA_001949725.1_ASM194972v1_genomic	clu2
GCA_001949735.1_ASM194973v1_genomic	clu4
GCA_001949775.1_ASM194977v1_genomic	clu4
GCA_001949795.1_ASM194979v1_genomic	clu4
GCA_001949805.1_ASM194980v1_genomic	clu4
GCA_004115725.1_ASM411572v1_genomic	clu1
GCA_004116045.1_ASM411604v1_genomic	clu1
GCA_004116125.1_ASM411612v1_genomic	clu1
GCA_004116135.1_ASM411613v1_genomic	clu1
GCA_004116145.1_ASM411614v1_genomic	clu1
GCA_004116155.1_ASM411615v1_genomic	clu1
GCA_004116165.1_ASM411616v1_genomic	clu1
GCA_004116225.1_ASM411622v1_genomic	clu1
GCA_004116235.1_ASM411623v1_genomic	clu1
GCA_004116255.1_ASM411625v1_genomic	clu1
GCA_011062475.1_ASM1106247v1_genomic	clu2
GCA_011062735.1_ASM1106273v1_genomic	clu2
GCA_011063145.1_ASM1106314v1_genomic	clu4
GCA_015553685.1_ASM1555368v1_genomic	clu2
GCA_015931425.1_PDT000796072.1_genomic	clu1
GCA_015931445.1_PDT000796073.1_genomic	clu1
GCA_015931485.1_PDT000796069.1_genomic	clu1
GCA_015931505.1_PDT000796071.1_genomic	clu1
GCA_015931545.1_PDT000796066.1_genomic	clu1
GCA_015931565.1_PDT000796068.1_genomic	clu1
GCA_015931605.1_PDT000796067.1_genomic	clu1
GCA_015931625.1_PDT000796065.1_genomic	clu1
GCA_015931805.1_PDT000796050.1_genomic	clu1
GCA_015931845.1_PDT000796051.1_genomic	clu1
GCA_015932185.1_PDT000796035.1_genomic	clu1
GCA_015932195.1_PDT000796036.1_genomic	clu1
GCA_016068815.1_PDT000537765.1_genomic	clu2
GCA_016070855.1_PDT000526171.1_genomic	clu4
GCA_016074745.1_PDT000439392.1_genomic	clu4
GCA_017897335.1_ASM1789733v1_genomic	clu1
GCA_019864205.1_PDT001122505.1_genomic	clu3
GCA_019868985.1_PDT001122476.1_genomic	clu3
GCA_019869025.1_PDT001122475.1_genomic	clu3
GCA_019869045.1_PDT001122471.1_genomic	clu3
GCA_019869065.1_PDT001122472.1_genomic	clu3
GCA_019869085.1_PDT001122474.1_genomic	clu3
GCA_019869105.1_PDT001122470.1_genomic	clu3
GCA_019869125.1_PDT001122468.1_genomic	clu2
GCA_019869145.1_PDT001122473.1_genomic	clu3
GCA_019869165.1_PDT001122467.1_genomic	clu2
GCA_019869205.1_PDT001122466.1_genomic	clu1
GCA_019869225.1_PDT001122458.1_genomic	clu2
GCA_019869245.1_PDT001122459.1_genomic	clu2
GCA_019869255.1_PDT001122457.1_genomic	clu2
GCA_019869285.1_PDT001122460.1_genomic	clu2
GCA_019869305.1_PDT001122461.1_genomic	clu1
GCA_019869325.1_PDT001122456.1_genomic	clu2
GCA_019869345.1_PDT001122451.1_genomic	clu1
GCA_019869365.1_PDT001122452.1_genomic	clu3
GCA_019869385.1_PDT001122449.1_genomic	clu1
GCA_019869395.1_PDT001122450.1_genomic	clu1
GCA_019869425.1_PDT001122447.1_genomic	clu5
GCA_019869445.1_PDT001122446.1_genomic	clu2
GCA_019869465.1_PDT001122435.1_genomic	clu5
GCA_019869485.1_PDT001122438.1_genomic	clu5
GCA_019869505.1_PDT001122445.1_genomic	clu2
GCA_019869525.1_PDT001122444.1_genomic	clu2
GCA_019869545.1_PDT001122441.1_genomic	clu5
